dataset,n,d,k_true,k_threshold,k_bootstrap,threshold_correct,bootstrap_correct,agree
blobs_k3_d2_std0.3,300,2,3,4,3,0,1,0
blobs_k3_d2_std0.5,300,2,3,4,3,0,1,0
blobs_k3_d2_std1.0,300,2,3,4,3,0,1,0
blobs_k5_d2_std0.5,300,2,5,3,5,0,1,0
blobs_k5_d2_std1.0,300,2,5,3,3,0,0,1
blobs_k8_d2_std0.5,300,2,8,3,5,0,0,0
blobs_k3_d2_std1.5,300,2,3,3,3,1,1,1
blobs_k3_d2_std2.0,300,2,3,3,2,1,0,0
blobs_k3_d2_std2.5,300,2,3,3,2,1,0,0
blobs_k5_d2_std1.5,300,2,5,3,2,0,0,0
blobs_k5_d2_std2.0,300,2,5,3,2,0,0,0
classif_k2_info2_noise2,300,4,2,2,2,1,1,1
classif_k2_info2_noise5,300,7,2,2,2,1,1,1
classif_k2_info2_noise10,300,12,2,2,2,1,1,1
classif_k3_info3_noise3,300,6,3,2,2,0,0,1
classif_k3_info3_noise8,300,11,3,2,2,0,0,1
moons_noise0.05,300,2,2,2,2,1,1,1
moons_noise0.1,300,2,2,2,2,1,1,1
circles_factor0.3_noise0.05,300,2,2,2,4,1,0,0
circles_factor0.3_noise0.1,300,2,2,2,3,1,0,0
circles_factor0.5_noise0.05,300,2,2,3,2,0,1,0
circles_factor0.5_noise0.1,300,2,2,2,2,1,1,1
blobs_k3_d5_std1.0,300,5,3,3,2,1,0,0
aniso_k3_d2_stretch3.0,300,2,3,3,2,1,0,0
aniso_k3_d2_stretch5.0,300,2,3,3,2,1,0,0
aniso_k5_d2_stretch3.0,300,2,5,3,2,0,0,0
imbal_k3_d2_ratio3.0,300,2,3,3,3,1,1,1
imbal_k3_d2_ratio5.0,300,2,3,3,3,1,1,1
imbal_k5_d2_ratio3.0,300,2,5,3,2,0,0,0
varied_k3_d2_stds0.5_1.5_3.0,300,2,3,3,2,1,0,0
varied_k4_d2_stds0.5_1.0_2.0_3.0,300,2,4,3,2,0,0,0
varied_k5_d2_stds0.3_0.7_1.5_2.5_4.0,300,2,5,3,2,0,0,0
blobs_k10_d2_std0.5,600,2,10,4,4,0,0,1
blobs_k12_d2_std0.5,600,2,12,4,2,0,0,0
blobs_k15_d2_std0.5,600,2,15,4,2,0,0,0
moons_noise0.15,300,2,2,2,2,1,1,1
circles_factor0.5_noise0.15,300,2,2,2,2,1,1,1
smalln_k3_n50,50,2,3,3,3,1,1,1
smalln_k3_n100,100,2,3,3,3,1,1,1
wine,178,13,3,2,2,0,0,1
iris,149,4,3,3,2,1,0,0
seeds,210,7,3,2,2,0,0,1
glass,213,9,6,3,2,0,0,0
yeast,1453,8,10,2,2,0,0,1
ecoli,336,7,8,2,3,0,0,0
