dataset,k_true,seed,GMM_BIC,bic_correct
blobs_k3_d2_std0.3,3,42,2,0
blobs_k3_d2_std0.5,3,42,2,0
blobs_k3_d2_std1.0,3,42,2,0
blobs_k5_d2_std0.5,5,42,2,0
blobs_k5_d2_std1.0,5,42,2,0
blobs_k8_d2_std0.5,8,42,2,0
blobs_k3_d2_std1.5,3,42,2,0
blobs_k3_d2_std2.0,3,42,2,0
blobs_k3_d2_std2.5,3,42,2,0
blobs_k5_d2_std1.5,5,42,2,0
blobs_k5_d2_std2.0,5,42,2,0
classif_k2_info2_noise2,2,42,2,1
classif_k2_info2_noise5,2,42,2,1
classif_k2_info2_noise10,2,42,2,1
classif_k3_info3_noise3,3,42,3,1
classif_k3_info3_noise8,3,42,3,1
moons_noise0.05,2,42,2,1
moons_noise0.1,2,42,2,1
circles_factor0.3_noise0.05,2,42,2,1
circles_factor0.3_noise0.1,2,42,2,1
circles_factor0.5_noise0.05,2,42,2,1
circles_factor0.5_noise0.1,2,42,2,1
blobs_k3_d5_std1.0,3,42,3,1
blobs_k3_d30_std1.0,3,42,7,0
blobs_k3_d50_std1.0,3,42,10,0
aniso_k3_d2_stretch3.0,3,42,2,0
aniso_k3_d2_stretch5.0,3,42,2,0
aniso_k5_d2_stretch3.0,5,42,2,0
imbal_k3_d2_ratio3.0,3,42,2,0
imbal_k3_d2_ratio5.0,3,42,2,0
imbal_k5_d2_ratio3.0,5,42,2,0
varied_k3_d2_stds0.5_1.5_3.0,3,42,2,0
varied_k4_d2_stds0.5_1.0_2.0_3.0,4,42,2,0
varied_k5_d2_stds0.3_0.7_1.5_2.5_4.0,5,42,2,0
blobs_k10_d2_std0.5,10,42,2,0
blobs_k12_d2_std0.5,12,42,2,0
blobs_k15_d2_std0.5,15,42,2,0
classif_k3_info2_noise98,3,42,2,0
classif_k3_info5_noise95,3,42,2,0
classif_k5_info5_noise195,5,42,2,0
moons_noise0.15,2,42,2,1
circles_factor0.5_noise0.15,2,42,2,1
