index,accuracy_mean,accuracy_std,mae_mean,mae_std,acc_plus1_mean,acc_plus1_std,ari_mean,ari_std
Gap Statistic,0.5379310344827586,0.014425172871277155,2.0724137931034483,0.07045798876449154,0.689655172413793,0.021116290886061876,0.5744431331719191,0.004991213384512138
CBV,0.5137931034482758,0.0077105792327579106,2.182758620689655,0.009443492370778683,0.6896551724137931,0.0,0.518369487482382,0.0023503334635357003
CH Index,0.44827586206896547,6.206335383118183e-17,2.917241379310345,0.0462634753965474,0.6379310344827587,0.0,0.5957791555319283,0.0006391804753964251
Silhouette,0.38275862068965516,0.007710579232757911,2.2724137931034485,0.0683159060557204,0.6241379310344828,0.007710579232757911,0.5811034196087749,0.002913992253154436
KL Index,0.3413793103448276,0.02557309823136435,2.7448275862068967,0.061443205797260175,0.46206896551724136,0.022480008293802253,0.5684964434099069,0.004337303549053904
Jump Statistic,0.33103448275862074,0.014425172871277174,4.024137931034483,0.09172024881565796,0.44827586206896547,0.012191496227354272,0.533351883599864,0.003846594127014764
Davies-Bouldin,0.3,0.009443492370778746,3.5103448275862066,0.05114619646272874,0.5,0.012191496227354272,0.5291503883560611,0.0009882094755590334
Dunn Index,0.2482758620689655,0.015421158465515797,3.5172413793103443,0.1307392317939922,0.4137931034482758,0.012191496227354253,0.46117307684992614,0.007863433184609449
McClain-Rao,0.1103448275862069,0.00944349237077873,6.113793103448276,0.07375603322830138,0.12758620689655173,0.019658196984467895,0.3866684878274694,0.002004885169040474
Hartigan,0.034482758620689655,0.0,5.20344827586207,0.028330477112336296,0.15517241379310345,0.0,0.39915918077084855,0.0017847095551630054
