tolerance,mode,accuracy,mae,plus1_acc
1.0,fixed,0.3870967741935484,0.8387096774193549,0.8709677419354839
1.05,fixed,0.41935483870967744,0.8064516129032258,0.8709677419354839
1.1,fixed,0.41935483870967744,0.8064516129032258,0.8709677419354839
1.15,fixed,0.4838709677419355,0.7419354838709677,0.8709677419354839
1.2,fixed,0.5806451612903226,0.6774193548387096,0.8387096774193549
1.25,fixed,0.5806451612903226,0.6451612903225806,0.8709677419354839
1.3,fixed,0.6129032258064516,0.6451612903225806,0.8387096774193549
1.5,fixed,0.6129032258064516,0.6451612903225806,0.8387096774193549
2.0,fixed,0.41935483870967744,0.8709677419354839,0.8387096774193549
3.0,fixed,0.3548387096774194,1.064516129032258,0.8387096774193549
-1.0,adaptive_orig,0.41935483870967744,0.8064516129032258,0.8709677419354839
