bucket,tolerance,accuracy,mae,plus1_acc,n_datasets
low(2-5),1.0,0.25,1.1,0.8,20
low(2-5),1.05,0.3,1.05,0.8,20
low(2-5),1.1,0.3,1.05,0.8,20
low(2-5),1.15,0.4,0.95,0.8,20
low(2-5),1.2,0.55,0.85,0.75,20
low(2-5),1.25,0.65,0.7,0.8,20
low(2-5),1.3,0.7,0.7,0.75,20
low(2-5),1.5,0.7,0.7,0.75,20
low(2-5),2.0,0.4,1.05,0.75,20
low(2-5),3.0,0.35,1.3,0.75,20
med(6-20),1.0,0.5,0.5,1.0,6
med(6-20),1.05,0.5,0.5,1.0,6
med(6-20),1.1,0.5,0.5,1.0,6
med(6-20),1.15,0.5,0.5,1.0,6
med(6-20),1.2,0.5,0.5,1.0,6
med(6-20),1.25,0.3333333333333333,0.6666666666666666,1.0,6
med(6-20),1.3,0.3333333333333333,0.6666666666666666,1.0,6
med(6-20),1.5,0.3333333333333333,0.6666666666666666,1.0,6
med(6-20),2.0,0.3333333333333333,0.6666666666666666,1.0,6
med(6-20),3.0,0.3333333333333333,0.6666666666666666,1.0,6
high(>20),1.0,0.8,0.2,1.0,5
high(>20),1.05,0.8,0.2,1.0,5
high(>20),1.1,0.8,0.2,1.0,5
high(>20),1.15,0.8,0.2,1.0,5
high(>20),1.2,0.8,0.2,1.0,5
high(>20),1.25,0.6,0.4,1.0,5
high(>20),1.3,0.6,0.4,1.0,5
high(>20),1.5,0.6,0.4,1.0,5
high(>20),2.0,0.6,0.4,1.0,5
high(>20),3.0,0.4,0.6,1.0,5
